dataset,class_id,class_name,test_count,correct,top1_acc
original,0,s1,2,1,0.5
original,1,s2,2,2,1.0
original,2,s3,2,2,1.0
original,3,s4,2,2,1.0
original,4,s5,2,2,1.0
original,5,s6,2,2,1.0
original,6,s7,2,2,1.0
original,7,s8,2,2,1.0
original,8,s9,2,2,1.0
original,9,s10,2,2,1.0
original,10,s11,2,2,1.0
original,11,s12,2,2,1.0
original,12,s13,2,0,0.0
original,13,s14,2,2,1.0
original,14,s15,2,2,1.0
original,15,s16,2,2,1.0
original,16,s17,2,2,1.0
original,17,s18,2,2,1.0
original,18,s19,2,2,1.0
original,19,s20,2,1,0.5
original,20,s21,2,2,1.0
original,21,s22,2,2,1.0
original,22,s23,2,2,1.0
original,23,s24,2,2,1.0
original,24,s25,2,2,1.0
original,25,s26,2,2,1.0
original,26,s27,2,2,1.0
original,27,s28,2,1,0.5
original,28,s29,2,1,0.5
original,29,s30,2,2,1.0
original,30,s31,2,2,1.0
original,31,s32,2,2,1.0
original,32,s33,2,1,0.5
original,33,s34,2,2,1.0
original,34,s35,2,2,1.0
original,35,s36,2,2,1.0
original,36,s37,2,2,1.0
original,37,s38,2,2,1.0
original,38,s39,2,2,1.0
original,39,s40,2,1,0.5
pix_b2,0,s1,2,2,1.0
pix_b2,1,s2,2,2,1.0
pix_b2,2,s3,2,2,1.0
pix_b2,3,s4,2,2,1.0
pix_b2,4,s5,2,2,1.0
pix_b2,5,s6,2,2,1.0
pix_b2,6,s7,2,2,1.0
pix_b2,7,s8,2,2,1.0
pix_b2,8,s9,2,2,1.0
pix_b2,9,s10,2,2,1.0
pix_b2,10,s11,2,2,1.0
pix_b2,11,s12,2,2,1.0
pix_b2,12,s13,2,2,1.0
pix_b2,13,s14,2,2,1.0
pix_b2,14,s15,2,2,1.0
pix_b2,15,s16,2,2,1.0
pix_b2,16,s17,2,2,1.0
pix_b2,17,s18,2,2,1.0
pix_b2,18,s19,2,2,1.0
pix_b2,19,s20,2,2,1.0
pix_b2,20,s21,2,2,1.0
pix_b2,21,s22,2,2,1.0
pix_b2,22,s23,2,2,1.0
pix_b2,23,s24,2,2,1.0
pix_b2,24,s25,2,2,1.0
pix_b2,25,s26,2,2,1.0
pix_b2,26,s27,2,2,1.0
pix_b2,27,s28,2,1,0.5
pix_b2,28,s29,2,1,0.5
pix_b2,29,s30,2,2,1.0
pix_b2,30,s31,2,2,1.0
pix_b2,31,s32,2,2,1.0
pix_b2,32,s33,2,2,1.0
pix_b2,33,s34,2,2,1.0
pix_b2,34,s35,2,0,0.0
pix_b2,35,s36,2,2,1.0
pix_b2,36,s37,2,1,0.5
pix_b2,37,s38,2,2,1.0
pix_b2,38,s39,2,1,0.5
pix_b2,39,s40,2,2,1.0
pix_b4,0,s1,2,1,0.5
pix_b4,1,s2,2,2,1.0
pix_b4,2,s3,2,2,1.0
pix_b4,3,s4,2,2,1.0
pix_b4,4,s5,2,1,0.5
pix_b4,5,s6,2,2,1.0
pix_b4,6,s7,2,2,1.0
pix_b4,7,s8,2,2,1.0
pix_b4,8,s9,2,2,1.0
pix_b4,9,s10,2,2,1.0
pix_b4,10,s11,2,2,1.0
pix_b4,11,s12,2,2,1.0
